0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8.655361923785362,8.555558948665887,7.988541641143514,6.9796769811086,5.745765515308509,4.780698388212218,4.420758483573413,4.083704452997469,3.4072162279324667,2.81380140934131,2.400563240087819,2.530277008262914,2.621310940727418,2.4990684716431346,2.1928739091125,2.162483275979518,2.4130470841917915,2.5574786164916365,2.885827776136506,3.1466934124884447,3.113440570090189,2.9238875998721547,2.594429768497824,2.5179133484219327,2.4254503892846464,2.0261572786907465,1.7540330230587613,1.7806698313400158,2.0352876265380626,2.003303181356289,1.8499919625899535,2.018935205584973,2.251734847716268,2.035677415470304,2.1739767059206923,2.3332348688027276,2.246099212037182,2.1555234255818956,1.8755355226019006,1.694954873850254,1.622266064652863,1.6945508721016975,1.7471805769654092,1.7739930942424633,1.8492148127401875,1.7411594711940757,1.6467821968618908,1.7002896578635618,1.316868808405242,1.30744469349927,1.428486379033181,1.4327268180422967,1.3842001532719768,1.478232174895431,1.706900363314062,1.7904000439582282,1.8995283967198322,1.966016236796748,2.0366510158787325,2.2549746271222513,2.369766213626966,2.275892008754397,2.183266907803846,2.1790583341741785
8.555558948665887,8.483005412068087,7.967229548430833,6.993725990421609,5.768941908931467,4.805242019606496,4.43171748763818,4.091643638768716,3.416085965876425,2.8098766905004986,2.3712177636849305,2.472034014359733,2.5591762660346156,2.4523000911745325,2.16723921292047,2.1309334533010906,2.364154283261813,2.5098259550990396,2.8353380582531065,3.0904691305642795,3.062881973128305,2.8730291399090566,2.5472548307937064,2.466992428246478,2.3728904533542754,1.9872319710211268,1.7239846276149906,1.7517266885121296,1.9977900062729448,1.9795185226714114,1.8515065578279406,2.0276153482262123,2.253483812373166,2.0554695561153165,2.183250344099153,2.3335714849318383,2.245527859943613,2.1452562960240167,1.8807335908683096,1.7088384217541408,1.6380167446083362,1.697641827285005,1.7479955738760586,1.782348670274346,1.8558521519213849,1.7457726693397442,1.6431110071146842,1.6876659641556955,1.3134911556875408,1.3051840232371406,1.4240052144420179,1.4259570641727302,1.3771753381434284,1.4722502740804144,1.707596614097411,1.7937894169912705,1.9030127375995352,1.9748773639465884,2.0448114058436975,2.260318208129611,2.3738710302876673,2.2770479156861256,2.187372420418286,2.188750870462148
7.988541641143514,7.967229548430833,7.672998800421778,6.9552798194278544,5.854391741201109,4.930717907861455,4.5550679521310995,4.258492585998049,3.6192535587954486,2.974375424446076,2.4571697090437232,2.4388473381479807,2.5105336540888787,2.446826936255049,2.2257545614498966,2.171988506207026,2.3161455112442537,2.4173871605075608,2.7100605662091115,2.947637183647115,2.944639332120422,2.7938879630790603,2.503392716583276,2.396860079778689,2.2724610549888173,1.9433401493785845,1.7341851150025742,1.791067081777227,1.9824045067877225,1.9809260452206638,1.959406554945566,2.138691036811714,2.313153146148083,2.1747993403577714,2.2795026237390776,2.388435713114454,2.3122089318177084,2.1921652493706554,1.9678060390906158,1.8375826967571869,1.749698016711828,1.7609937921477736,1.7984080994666152,1.837170719777298,1.913029896972733,1.786072284259069,1.6572990788726156,1.6578358316917001,1.326250229227744,1.3138609018929073,1.4323553557352489,1.4292658215435927,1.3795757707455691,1.4913587821708651,1.7288579710374972,1.820956262333043,1.9146429403707563,1.9914610950209195,2.065680256961801,2.285836942898636,2.389001752055361,2.2780132364859083,2.186741288749509,2.200046889809289
6.9796769811086,6.993725990421609,6.9552798194278544,6.685167383460021,5.922857526457984,5.12313940741161,4.756787860639708,4.506766290473499,3.916573861700822,3.2267838685499175,2.608501685397159,2.4023924003266046,2.4029346982332496,2.3582082744856687,2.2064021165404766,2.156451934258628,2.1991824350443743,2.2269817029277004,2.4353686150056064,2.63642350342516,2.6619950184208236,2.591985061874746,2.377145483508461,2.243597706358705,2.0759347172369824,1.8263208995185058,1.7036438725416774,1.8207818304549526,1.9217206285656687,1.9396561942208024,2.066633890963864,2.2665611140642263,2.365482399315064,2.2899022858931395,2.3922361928454823,2.4303383384950066,2.378388487008704,2.2454844702151204,2.0591240546720706,1.9934915483023812,1.8741187545261258,1.8346564180114233,1.8498049315799432,1.8778986184484128,1.9424691200926139,1.7967668220074036,1.6314101681642668,1.5544308133987055,1.2870943705580689,1.2731270202459068,1.3941920376360764,1.377891072887178,1.3247074197662916,1.4637426919489354,1.6909316571863755,1.7910651469579952,1.862324741166956,1.94679116868252,2.0365326003799344,2.2790423738717362,2.372759472860781,2.2234753450593097,2.1110594195700854,2.1309577370697963
5.745765515308509,5.768941908931467,5.854391741201109,5.922857526457984,5.733911330941734,5.301394596893698,4.893435683945075,4.494878137825154,3.947874681449256,3.3497967652414706,2.791126569456772,2.408657546825642,2.192246893450779,2.0515938300471643,1.9696946239083446,1.9690878856574676,1.97294613436261,1.9621603913419974,2.0140491383631147,2.10821950719985,2.1418349060543336,2.153172809125884,2.0490314933077856,1.9181385661753791,1.7380781510339267,1.5745740902991232,1.5323039853006588,1.669370461315493,1.7210933309445438,1.8290084854798385,2.084366469610395,2.3056411739664076,2.3691201804843427,2.3586478386382197,2.468428464380099,2.437014550922353,2.3906561174050798,2.2857769160749535,2.104757143041202,2.073181323024018,1.9366111564528274,1.8780003544897872,1.8865736767374501,1.8973116071186555,1.9253391644056435,1.8072986420303006,1.618299886625365,1.4763176083737273,1.2415300245681617,1.2248849832128834,1.3471597875827204,1.3406204061211358,1.2828194433359381,1.4127518444988352,1.6060601823427196,1.7072547044294786,1.7825343818648873,1.8692766989121872,1.9653199811703077,2.2292964498569403,2.343071750104637,2.1355758467590924,2.005043013076809,2.032432334033549
4.780698388212218,4.805242019606496,4.930717907861455,5.12313940741161,5.301394596893698,5.4164161354678795,5.180885390567274,4.6899555716745605,4.189195609553165,3.729202021397974,3.2785482829058834,2.8575323505703527,2.5441956345368224,2.279026635174211,2.1394234346714005,2.0396560627166167,1.9183452261942444,1.915689994919678,1.9743512731593764,1.9965055232489752,1.9783541975530026,2.005748311617014,1.9856826874625648,1.908035940229581,1.7950406232958902,1.699582066427996,1.6766787097855018,1.8317485888685088,1.9400218581002555,2.0963553262468753,2.378851283028671,2.6801086524032502,2.731849312920993,2.7226168012093788,2.8560879028685844,2.8060402747108695,2.7639702940304707,2.670159038873093,2.4081830815239273,2.3192141731876403,2.127227784214574,2.0635380698783585,2.1073133872612653,2.0773193438572983,2.064586012148114,2.0052637546187215,1.8888920030020442,1.7279916537091597,1.444779492201785,1.357850273196309,1.4645444753694528,1.5119373086536667,1.4375781954439462,1.508376794118785,1.6367483597664223,1.7060820675793174,1.7737536000796483,1.8267954282998287,1.9040156929325298,2.168816547244826,2.3217867386702675,2.054299347857787,1.9076635271750897,1.9668458904487807
4.420758483573413,4.43171748763818,4.5550679521310995,4.756787860639708,4.893435683945075,5.180885390567274,5.499352799362555,5.5559110282090085,5.22857321106968,4.666539191823274,4.051294109419292,3.601627489721114,3.3460635806148495,3.02582431901506,2.760457625841558,2.50850319930837,2.2391847837794336,2.1696514240304983,2.2560804220737567,2.3096307013157564,2.3044466072013305,2.3219544823694322,2.3013857230954318,2.2188076248040134,2.09867307121123,2.028027390221682,2.0902610594493733,2.2741698709392177,2.349234941314629,2.543791792545495,2.911811675328793,3.259876401250032,3.275055267921449,3.287156994063663,3.3936111205749264,3.398901821096692,3.4349945472489574,3.2474841773816077,2.8665863281133896,2.6129805598719633,2.355572291804132,2.3533743681313792,2.4716835392341294,2.382141594047179,2.2507262608147274,2.219159814767569,2.1983110507288077,2.0133828987937163,1.6519543219278576,1.4646451306890291,1.567746100596544,1.6702992704147013,1.5357155892378778,1.509674893121416,1.5550000324201565,1.5850225214215505,1.6414982453306708,1.6951395216646101,1.7922489195896882,2.086288222498472,2.290782429095054,1.9573489602418264,1.717752274792242,1.7755426141363915
4.083704452997469,4.091643638768716,4.258492585998049,4.506766290473499,4.494878137825154,4.6899555716745605,5.5559110282090085,6.719287054168925,6.890357387542961,6.147830957628005,5.0963261605629775,4.563441820106256,4.454713507831319,4.188036082619559,3.8152814347441155,3.386241417692581,2.948188123526228,2.703889649873277,2.635451459721326,2.69861991354097,2.844046447497508,2.9335315114380993,2.899946352640187,2.7362817630032024,2.6130315853660924,2.6368759231128687,2.8551616298540266,3.1383691128258975,3.0392836209972534,3.2801031629925252,3.82926147821287,4.077012761230796,4.027133036684821,4.103649293243765,4.120492379122825,4.241759053898217,4.433130312046675,4.0857134793672065,3.6187171909648246,3.1164642133284244,2.7965944469887356,2.881145855678333,3.1015264320747016,2.934863717825289,2.6269130995714645,2.617042961381869,2.691399050630408,2.4630911598484273,2.045886127938029,1.7301011365959202,1.8291225346423172,1.9990904098253692,1.7969739082641318,1.643156906555921,1.5981155583270983,1.581369467753668,1.609686619883084,1.6781823694621432,1.8003854359971023,2.1434825901927845,2.4118781413390065,2.036392508127334,1.6638494697381156,1.694543817660821
3.4072162279324667,3.416085965876425,3.6192535587954486,3.916573861700822,3.947874681449256,4.189195609553165,5.22857321106968,6.890357387542961,7.619720883216366,7.184035608891151,6.155975191184285,5.620280804106333,5.565897993634921,5.351442750086841,4.958872820785304,4.385237326747009,3.767674415046604,3.3532013109209062,3.091779749874715,3.0848507783063934,3.3096794442690367,3.4898173646525676,3.499334639093942,3.2860324368093994,3.21528454136571,3.406570019257783,3.7469976605856403,4.063239385112531,3.9269573973569583,4.210379588086755,4.762449242703239,4.831960038432332,4.710554135093873,4.8233630453262375,4.769199960152154,4.978219281750041,5.254057473220846,4.856919308408042,4.33515043199099,3.6476773506192854,3.28885165939468,3.4050255223413153,3.678212736312102,3.492048868421483,3.106938811572416,3.1699864408126053,3.3800863653630784,3.1777110415387653,2.7373134473749468,2.290880729172808,2.378778141498946,2.626429083691168,2.414261462670356,2.136723561364557,2.007092357113958,1.916244062302606,1.9045282183370382,1.939804579453548,2.0357674397525067,2.369904402422564,2.664118142339442,2.327404832796204,1.9117282755952802,1.9303377532961146
2.81380140934131,2.8098766905004986,2.974375424446076,3.2267838685499175,3.3497967652414706,3.729202021397974,4.666539191823274,6.147830957628005,7.184035608891151,7.550214849858988,7.146155831410509,6.747556331800041,6.654303751940338,6.480983022368576,6.147121589425295,5.4367984601879735,4.640944044627316,4.108483204220709,3.7053095218841765,3.58389818797067,3.798621520109631,4.036393242702251,4.089688784953196,3.877855250968885,3.9078149912446154,4.29598446037459,4.718228626159697,5.033925063736133,4.953338792730908,5.206116463865898,5.569462518265536,5.391590457886844,5.1595669828406745,5.257481881631854,5.205606033381453,5.449299503766956,5.758365789349703,5.426490485122669,4.857848724476387,4.093338320434615,3.702623067014489,3.7881264001912047,4.064187093807349,3.9213002399886845,3.6218561596255037,3.786279021269671,4.164220466645601,4.0752101351239896,3.6352356954667386,3.077870142295669,3.1553109710316196,3.4745811879543154,3.3210983808556764,2.9326973019483056,2.72704873256733,2.5269831733897328,2.462697576585555,2.4032875957889592,2.4414083243096556,2.714097734265954,2.984108221081373,2.7628236526988563,2.418874566234496,2.4545439219404885
