Time_sec,Freq_Hz,Swara
214.41,471.6,Sa_high
214.58,445.4,Ni3
214.6,471.6,Sa_high
215.2,262.0,Ri1
215.62,524.0,Sa_high
215.67,262.0,Ri1
215.69,235.8,Sa
215.78,497.8,Sa_high
216.13,235.8,Sa
216.18,497.8,Sa_high
216.25,131.0,Sa
216.32,524.0,Sa_high
216.46,262.0,Ri1
216.55,235.8,Sa
216.8,262.0,Ri1
216.85,235.8,Sa
216.94,262.0,Ri1
216.97,288.2,Ga2
217.01,262.0,Ri1
217.04,235.8,Sa
217.11,262.0,Ri1
217.13,288.2,Ga2
217.15,314.4,Ma1
217.18,288.2,Ga2
217.2,262.0,Ri1
217.32,104.8,Sa
217.39,262.0,Ri1
217.59,235.8,Sa
218.06,419.2,Ni2
218.13,104.8,Sa
218.5,471.6,Sa_high
218.55,157.2,Sa
219.24,471.6,Sa_high
219.29,157.2,Sa
220.19,628.79,Sa_high
220.26,183.4,Sa
220.38,628.79,Sa_high
220.4,183.4,Sa
220.75,628.79,Sa_high
220.78,183.4,Sa
220.89,602.6,Sa_high
220.91,183.4,Sa
221.19,393.0,Da2
221.22,183.4,Sa
221.5,393.0,Da2
221.54,52.4,Sa
221.91,1663.33,Sa_high
221.96,131.0,Sa
222.03,262.0,Ri1
222.15,104.8,Sa
222.26,812.19,Sa_high
222.56,183.4,Sa
222.75,262.0,Ri1
222.91,812.19,Sa_high
223.38,262.0,Ri1
223.56,288.2,Ga2
223.84,314.4,Ma1
223.93,288.2,Ga2
223.96,314.4,Ma1
223.98,288.2,Ga2
224.05,262.0,Ri1
224.07,235.8,Sa
224.17,262.0,Ri1
224.26,235.8,Sa
224.42,524.0,Sa_high
224.44,78.6,Sa
225.02,628.79,Sa_high
225.3,419.2,Ni2
225.37,157.2,Sa
225.4,628.79,Sa_high
225.42,419.2,Ni2
225.67,209.6,Sa
225.7,471.6,Sa_high
225.91,235.8,Sa
226.05,524.0,Sa_high
226.09,235.8,Sa
226.21,524.0,Sa_high
226.26,314.4,Ma1
226.28,183.4,Sa
226.32,524.0,Sa_high
226.42,183.4,Sa
226.6,393.0,Da2
226.65,183.4,Sa
226.81,393.0,Da2
226.93,183.4,Sa
227.02,602.6,Sa_high
227.09,288.2,Ga2
227.18,314.4,Ma1
227.21,288.2,Ga2
227.63,602.6,Sa_high
228.0,262.0,Ri1
228.04,235.8,Sa
228.14,314.4,Ma1
228.35,288.2,Ga2
228.37,340.6,Ma2
228.39,314.4,Ma1
228.48,524.0,Sa_high
228.53,262.0,Ri1
228.55,314.4,Ma1
228.58,393.0,Da2
228.6,104.8,Sa
228.65,628.79,Sa_high
228.74,314.4,Ma1
228.81,288.2,Ga2
228.86,314.4,Ma1
228.9,104.8,Sa
228.93,314.4,Ma1
229.09,340.6,Ma2
229.11,707.39,Sa_high
229.97,314.4,Ma1
229.99,340.6,Ma2
230.02,707.39,Sa_high
230.06,78.6,Sa
230.09,707.39,Sa_high
230.2,104.8,Sa
230.39,707.39,Sa_high
230.41,78.6,Sa
230.43,340.6,Ma2
230.74,969.39,Sa_high
230.76,314.4,Ma1
230.78,628.79,Sa_high
230.81,314.4,Ma1
230.95,288.2,Ga2
231.02,262.0,Ri1
231.11,314.4,Ma1
231.13,52.4,Sa
231.15,314.4,Ma1
231.27,288.2,Ga2
231.36,262.0,Ri1
231.39,52.4,Sa
231.53,393.0,Da2
231.6,131.0,Sa
231.85,393.0,Da2
231.92,576.4,Sa_high
232.13,183.4,Sa
232.5,366.8,Pa
232.57,393.0,Da2
232.62,419.2,Ni2
232.73,393.0,Da2
232.78,183.4,Sa
232.83,393.0,Da2
232.85,104.8,Sa
233.27,602.6,Sa_high
233.41,131.0,Sa
233.43,602.6,Sa_high
233.45,183.4,Sa
233.52,576.4,Sa_high
233.69,183.4,Sa
233.71,576.4,Sa_high
234.45,104.8,Sa
235.78,890.79,Sa_high
235.8,131.0,Sa
237.26,471.6,Sa_high
237.28,131.0,Sa
237.91,602.6,Sa_high
237.93,131.0,Sa
239.98,628.79,Sa_high
240.0,52.4,Sa
240.37,602.6,Sa_high
240.42,183.4,Sa
244.34,419.2,Ni2
244.37,104.8,Sa
246.41,314.4,Ma1
246.43,131.0,Sa
247.59,628.79,Sa_high
247.62,104.8,Sa
247.99,471.6,Sa_high
248.01,131.0,Sa
248.94,471.6,Sa_high
249.73,209.6,Sa
249.87,707.39,Sa_high
249.92,235.8,Sa
249.94,707.39,Sa_high
249.96,104.8,Sa
250.52,445.4,Ni3
250.54,209.6,Sa
250.71,681.19,Sa_high
250.73,209.6,Sa
250.87,471.6,Sa_high
250.89,209.6,Sa
250.91,471.6,Sa_high
250.94,209.6,Sa
251.05,445.4,Ni3
251.08,209.6,Sa
251.89,1663.33,Sa_high
251.91,183.4,Sa
252.7,628.79,Sa_high
253.1,183.4,Sa
253.24,419.2,Ni2
253.26,393.0,Da2
253.31,419.2,Ni2
253.35,393.0,Da2
253.42,419.2,Ni2
253.52,393.0,Da2
253.59,419.2,Ni2
253.65,393.0,Da2
253.68,419.2,Ni2
253.72,104.8,Sa
253.82,393.0,Da2
253.84,419.2,Ni2
253.91,393.0,Da2
253.96,419.2,Ni2
254.03,1618.99,Sa_high
254.05,419.2,Ni2
254.1,78.6,Sa
254.12,393.0,Da2
254.17,419.2,Ni2
254.21,209.6,Sa
254.3,628.79,Sa_high
254.42,209.6,Sa
254.68,628.79,Sa_high
254.79,104.8,Sa
254.82,262.0,Ri1
254.86,471.6,Sa_high
254.91,445.4,Ni3
254.93,471.6,Sa_high
254.98,445.4,Ni3
255.0,209.6,Sa
255.09,445.4,Ni3
255.12,419.2,Ni2
255.14,393.0,Da2
255.88,104.8,Sa
256.14,340.6,Ma2
256.21,157.2,Sa
256.23,340.6,Ma2
256.33,157.2,Sa
257.53,602.6,Sa_high
257.97,157.2,Sa
258.14,419.2,Ni2
258.21,183.4,Sa
258.3,497.8,Sa_high
258.35,183.4,Sa
258.37,393.0,Da2
258.48,419.2,Ni2
258.55,104.8,Sa
258.65,393.0,Da2
258.79,183.4,Sa
260.04,602.6,Sa_high
260.06,183.4,Sa
260.09,785.99,Sa_high
260.11,183.4,Sa
260.13,602.6,Sa_high
260.16,183.4,Sa
261.53,628.79,Sa_high
261.55,131.0,Sa
265.75,628.79,Sa_high
265.8,157.2,Sa
265.85,340.6,Ma2
265.87,157.2,Sa
266.17,602.6,Sa_high
266.29,183.4,Sa
266.4,576.4,Sa_high
266.45,157.2,Sa
266.54,524.0,Sa_high
266.61,104.8,Sa
270.42,471.6,Sa_high
270.44,131.0,Sa
