Time_sec,Freq_Hz,Swara
60.44,183.4,Sa
60.53,602.6,Sa_high
60.63,183.4,Sa
60.65,576.4,Sa_high
60.88,157.2,Sa
62.18,890.79,Sa_high
62.25,104.8,Sa
65.67,890.79,Sa_high
72.1,157.2,Sa
72.17,524.0,Sa_high
72.19,104.8,Sa
72.24,602.6,Sa_high
73.38,104.8,Sa
73.68,812.19,Sa_high
74.21,131.0,Sa
74.28,943.19,Sa_high
75.05,288.2,Ga2
75.07,969.39,Sa_high
75.28,314.4,Ma1
75.3,969.39,Sa_high
76.37,262.0,Ri1
76.39,471.6,Sa_high
76.53,131.0,Sa
76.6,471.6,Sa_high
77.18,262.0,Ri1
77.21,288.2,Ga2
77.3,131.0,Sa
77.35,314.4,Ma1
77.48,471.6,Sa_high
78.51,262.0,Ri1
78.53,288.2,Ga2
78.6,943.19,Sa_high
79.46,314.4,Ma1
79.48,969.39,Sa_high
79.55,314.4,Ma1
79.6,969.39,Sa_high
80.99,314.4,Ma1
81.01,864.59,Sa_high
81.5,288.2,Ga2
81.59,314.4,Ma1
81.76,628.79,Sa_high
82.55,445.4,Ni3
82.57,864.59,Sa_high
82.64,419.2,Ni2
82.8,262.0,Ri1
82.85,288.2,Ga2
82.87,943.19,Sa_high
83.73,314.4,Ma1
83.8,969.39,Sa_high
83.82,314.4,Ma1
83.87,969.39,Sa_high
84.94,288.2,Ga2
84.99,812.19,Sa_high
85.77,288.2,Ga2
85.8,864.59,Sa_high
85.96,314.4,Ma1
85.98,890.79,Sa_high
86.54,209.6,Sa
86.56,812.19,Sa_high
88.03,314.4,Ma1
88.05,969.39,Sa_high
88.14,314.4,Ma1
88.17,969.39,Sa_high
91.44,131.0,Sa
91.49,393.0,Da2
91.51,1269.51,Sa_high
91.65,393.0,Da2
91.77,366.8,Pa
91.81,812.19,Sa_high
91.88,393.0,Da2
92.02,1269.51,Sa_high
92.09,393.0,Da2
92.16,1304.27,Sa_high
93.69,104.8,Sa
93.99,969.39,Sa_high
94.04,104.8,Sa
94.06,1079.51,Sa_high
95.36,419.2,Ni2
95.64,864.59,Sa_high
95.67,393.0,Da2
96.04,1269.51,Sa_high
96.13,393.0,Da2
96.18,1269.51,Sa_high
97.9,393.0,Da2
97.92,812.19,Sa_high
99.64,419.2,Ni2
99.8,864.59,Sa_high
99.85,419.2,Ni2
99.89,104.8,Sa
100.15,812.19,Sa_high
100.19,78.6,Sa
100.61,576.4,Sa_high
100.73,183.4,Sa
100.87,419.2,Ni2
100.89,393.0,Da2
100.91,366.8,Pa
100.94,393.0,Da2
100.98,419.2,Ni2
101.22,183.4,Sa
101.26,262.0,Ri1
101.31,235.8,Sa
101.52,262.0,Ri1
101.56,104.8,Sa
101.66,707.39,Sa_high
101.7,209.6,Sa
102.26,654.99,Sa_high
102.28,131.0,Sa
102.54,524.0,Sa_high
102.59,157.2,Sa
103.1,314.4,Ma1
103.14,131.0,Sa
103.24,314.4,Ma1
103.26,131.0,Sa
103.54,314.4,Ma1
103.68,131.0,Sa
104.35,419.2,Ni2
104.4,314.4,Ma1
104.44,209.6,Sa
105.07,524.0,Sa_high
105.12,78.6,Sa
105.14,419.2,Ni2
105.16,104.8,Sa
105.3,1663.33,Sa_high
105.4,78.6,Sa
105.74,262.0,Ri1
105.84,104.8,Sa
106.63,288.2,Ga2
106.79,131.0,Sa
106.84,314.4,Ma1
106.88,131.0,Sa
107.28,314.4,Ma1
107.37,131.0,Sa
108.2,314.4,Ma1
108.23,131.0,Sa
108.44,288.2,Ga2
108.46,131.0,Sa
108.97,393.0,Da2
109.02,104.8,Sa
109.18,393.0,Da2
109.2,183.4,Sa
109.46,445.4,Ni3
109.48,419.2,Ni2
109.53,393.0,Da2
109.57,419.2,Ni2
109.85,209.6,Sa
109.9,262.0,Ri1
109.97,235.8,Sa
110.36,707.39,Sa_high
110.39,209.6,Sa
110.88,314.4,Ma1
110.94,157.2,Sa
111.01,340.6,Ma2
111.06,157.2,Sa
111.18,340.6,Ma2
111.22,131.0,Sa
111.39,314.4,Ma1
111.41,131.0,Sa
111.71,393.0,Da2
111.76,131.0,Sa
111.78,1663.33,Sa_high
111.83,157.2,Sa
112.01,314.4,Ma1
112.29,104.8,Sa
112.36,471.6,Sa_high
112.38,78.6,Sa
112.94,419.2,Ni2
112.97,393.0,Da2
112.99,78.6,Sa
113.68,524.0,Sa_high
113.73,262.0,Ri1
113.75,104.8,Sa
113.8,262.0,Ri1
113.85,78.6,Sa
113.89,524.0,Sa_high
113.94,78.6,Sa
114.1,262.0,Ri1
114.13,78.6,Sa
114.31,262.0,Ri1
114.4,104.8,Sa
115.08,262.0,Ri1
115.1,288.2,Ga2
115.22,131.0,Sa
115.36,314.4,Ma1
115.52,157.2,Sa
115.8,314.4,Ma1
116.01,157.2,Sa
116.36,314.4,Ma1
116.4,131.0,Sa
116.98,288.2,Ga2
117.01,131.0,Sa
117.03,393.0,Da2
117.12,104.8,Sa
117.73,1202.72,Sa_high
117.77,183.4,Sa
118.0,707.39,Sa_high
118.33,235.8,Sa
118.35,262.0,Ri1
118.38,288.2,Ga2
118.44,262.0,Ri1
118.47,235.8,Sa
118.49,314.4,Ma1
118.68,288.2,Ga2
118.75,314.4,Ma1
118.77,78.6,Sa
118.79,628.79,Sa_high
119.0,288.2,Ga2
119.05,602.6,Sa_high
119.1,288.2,Ga2
119.72,262.0,Ri1
119.75,235.8,Sa
119.77,288.2,Ga2
119.79,628.79,Sa_high
120.07,288.2,Ga2
120.3,314.4,Ma1
120.33,340.6,Ma2
120.37,314.4,Ma1
120.47,733.59,Sa_high
120.51,314.4,Ma1
120.63,288.2,Ga2
120.88,104.8,Sa
120.95,288.2,Ga2
121.32,262.0,Ri1
121.44,104.8,Sa
121.67,288.2,Ga2
121.72,104.8,Sa
122.09,366.8,Pa
122.11,183.4,Sa
122.83,366.8,Pa
122.86,157.2,Sa
122.9,366.8,Pa
122.93,183.4,Sa
123.07,419.2,Ni2
123.09,183.4,Sa
123.16,419.2,Ni2
123.34,393.0,Da2
123.41,183.4,Sa
123.53,393.0,Da2
123.55,104.8,Sa
123.65,393.0,Da2
123.67,366.8,Pa
123.69,157.2,Sa
123.72,366.8,Pa
123.74,393.0,Da2
124.2,183.4,Sa
124.27,393.0,Da2
124.3,183.4,Sa
124.58,262.0,Ri1
124.62,235.8,Sa
124.69,262.0,Ri1
124.76,235.8,Sa
125.64,262.0,Ri1
125.67,235.8,Sa
125.97,524.0,Sa_high
125.99,104.8,Sa
126.18,524.0,Sa_high
126.22,104.8,Sa
126.6,471.6,Sa_high
126.99,209.6,Sa
127.06,471.6,Sa_high
127.15,235.8,Sa
127.2,262.0,Ri1
127.45,235.8,Sa
127.55,262.0,Ri1
127.62,785.99,Sa_high
127.69,235.8,Sa
127.78,785.99,Sa_high
127.8,235.8,Sa
128.43,262.0,Ri1
128.45,524.0,Sa_high
128.52,235.8,Sa
128.57,262.0,Ri1
128.64,235.8,Sa
128.87,288.2,Ga2
128.96,262.0,Ri1
129.01,288.2,Ga2
129.08,262.0,Ri1
129.13,235.8,Sa
129.15,262.0,Ri1
129.17,235.8,Sa
129.27,262.0,Ri1
129.45,235.8,Sa
129.47,262.0,Ri1
129.5,235.8,Sa
130.24,262.0,Ri1
130.26,104.8,Sa
130.57,288.2,Ga2
130.61,314.4,Ma1
130.64,340.6,Ma2
130.66,157.2,Sa
131.31,262.0,Ri1
131.36,393.0,Da2
131.38,157.2,Sa
132.1,314.4,Ma1
132.14,104.8,Sa
132.19,419.2,Ni2
132.21,183.4,Sa
132.24,366.8,Pa
132.26,183.4,Sa
132.4,419.2,Ni2
132.42,183.4,Sa
132.52,419.2,Ni2
132.56,183.4,Sa
133.05,393.0,Da2
133.07,183.4,Sa
133.12,393.0,Da2
133.21,183.4,Sa
133.28,393.0,Da2
133.35,183.4,Sa
133.42,393.0,Da2
133.45,183.4,Sa
134.03,1618.99,Sa_high
134.1,131.0,Sa
134.19,262.0,Ri1
134.28,104.8,Sa
134.35,393.0,Da2
134.56,183.4,Sa
134.79,393.0,Da2
134.82,262.0,Ri1
134.91,524.0,Sa_high
135.33,235.8,Sa
135.4,262.0,Ri1
135.42,524.0,Sa_high
135.58,262.0,Ri1
135.65,288.2,Ga2
135.93,78.6,Sa
135.95,314.4,Ma1
136.07,288.2,Ga2
136.14,262.0,Ri1
136.3,235.8,Sa
137.02,419.2,Ni2
137.04,628.79,Sa_high
137.44,183.4,Sa
138.11,262.0,Ri1
138.18,235.8,Sa
138.3,628.79,Sa_high
138.32,340.6,Ma2
138.34,235.8,Sa
138.62,419.2,Ni2
138.67,393.0,Da2
138.74,183.4,Sa
138.79,393.0,Da2
138.99,183.4,Sa
139.09,262.0,Ri1
139.11,288.2,Ga2
139.34,262.0,Ri1
139.37,288.2,Ga2
139.58,262.0,Ri1
139.62,602.6,Sa_high
139.71,288.2,Ga2
139.95,78.6,Sa
140.02,576.4,Sa_high
140.04,78.6,Sa
140.06,288.2,Ga2
140.09,262.0,Ri1
140.13,393.0,Da2
140.16,628.79,Sa_high
140.18,104.8,Sa
140.23,628.79,Sa_high
140.55,314.4,Ma1
140.57,288.2,Ga2
140.67,314.4,Ma1
140.71,104.8,Sa
140.74,314.4,Ma1
140.85,288.2,Ga2
140.88,314.4,Ma1
141.22,340.6,Ma2
141.25,707.39,Sa_high
141.36,340.6,Ma2
141.53,314.4,Ma1
141.57,340.6,Ma2
141.62,366.8,Pa
141.64,393.0,Da2
141.69,366.8,Pa
141.76,393.0,Da2
141.83,366.8,Pa
141.85,340.6,Ma2
141.99,314.4,Ma1
