Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Alankārapriya,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Bhāgyashabari,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Deeparamu,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Gunāvati,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Hindoladeshikam,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Kanakadri,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Mātangakāmini,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Nātyadhārana,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Niranjana,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Shānthabhāshini,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Shivashakti,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Kokilapriyā,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
Kokilāravam,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Bhimsen ,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Bhakthirasa,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Chitramani,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Jnānachintāmani,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Kowmāri,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Shuddha Lalitha,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Vardhani,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
Vasantamalli,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Vasantanārāyani,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Rūpavati,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Rowpyanaka,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
Shyāmakalyāni,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Gāyakapriyā,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0
Geya Hejjajji,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Hejjajji,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Kalākānti,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Kalkada,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
Kalpanadhārini,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Vakuḷābharaṇam,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Vātee Vasantabhairavi,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Amudhasurabhi,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Devipriya,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Kalindaja,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Kuvalayabharanam,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Mukthipradayini,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Sallapa,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Soma,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Sūryā,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Shuddha Kāmbhoji,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Vasantabhairavi,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Vasanta Mukhāri,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
